# [plmin, plcent, plmax]
5.667137119657270246e-03,9.099999999999996980e-03,1.243962433135424595e-02
4.212406773295247417e-04,2.200000000000007505e-03,4.053605869850769594e-03
3.813858575415484189e-03,6.900000000000017231e-03,1.019486138632269383e-02
5.986896259260374685e-05,8.000000000000090372e-04,1.483372712448854198e-03
1.518163159902790552e-03,4.000000000000003553e-03,5.973143196361637222e-03
2.274578061515034402e-02,2.900000000000002576e-02,3.398181982181322502e-02
# Rows:_Pik->_P12_P13_P15_P23_P34_P45
