# [qlmin, qlcent, qlmax]
1.454569898575273391e-02,2.369999999999999885e-02,3.260566488361132248e-02
2.907970167454414223e-03,8.600000000000003475e-03,1.453153878352249524e-02
1.422705271258831172e-02,2.520000000000000018e-02,3.691506270692510028e-02
-3.842096598518321849e-04,7.999999999999951594e-04,1.893396339918124345e-03
4.295407899756912423e-03,1.050000000000000933e-02,1.543285799090413427e-02
5.576445153787584069e-02,7.140000000000001901e-02,8.385454955453298942e-02
# Rows:_Qik->_Q12_Q13_Q15_Q23_Q34_Q45
