# [Xmin, Xcent, Xmax]
-2.120000000000000107e+00,-2.060000000000000053e+00,-2.010000000000000231e+00
-1.920000000000000151e+00,-1.870000000000000107e+00,-1.840000000000000080e+00
-8.000000000000000444e-01,-7.299999999999999822e-01,-6.100000000000000977e-01
-4.449999999999999289e+00,-4.389999999999999680e+00,-4.339999999999999858e+00
9.296999999999999709e-01,9.797000000000000153e-01,1.029700000000000060e+00
9.706000000000000183e-01,9.906000000000000361e-01,1.020599999999999952e+00
8.938999999999999169e-01,9.538999999999999702e-01,1.003900000000000015e+00
# Rows:_theta2_theta3_theta4_theta5_V2_V3_V5
