# [Xmin, Xcent, Xmax]
-2.785338828062641880e+00,-2.303290336425908968e+00,-1.825825507150223181e+00
-2.545460497834537428e+00,-1.856383256223866685e+00,-1.130636715724824271e+00
-1.258215318107288594e+00,-1.661577605879387409e-01,1.151645168212954040e+00
-5.585956530662106623e+00,-4.491989113825654023e+00,-3.269679150879897911e+00
# Rows:_theta2_theta3_theta4_theta5
